alpha,gamma,Val_RMSE
0.01,0.01,0.060452128078776944
0.001,0.01,0.061251686560651206
0.001,0.001,0.06940197600356636
0.1,0.01,0.06997554039773897
0.01,0.001,0.0757017386424353
0.1,0.001,0.0772010241732527
1.0,0.01,0.08105240434881328
0.01,0.05,0.08885307645441752
0.1,0.05,0.09019111772325532
0.001,0.05,0.0935095200004076
1.0,0.001,0.09696334336645425
1.0,0.05,0.1224975758564943
0.001,0.1,0.12570186346844214
10.0,0.001,0.12629967772221362
0.01,0.1,0.12771201105884541
10.0,0.01,0.13289018670390065
0.1,0.1,0.1345337249671174
1.0,0.1,0.17839398233090423
10.0,0.05,0.22189817929165861
10.0,0.1,0.3096943185141897
100.0,0.001,0.3428499414619934
100.0,0.01,0.3776366971322519
0.001,0.5,0.4110823993241384
0.01,0.5,0.4119434668033061
0.1,0.5,0.4203697734987357
1.0,0.5,0.47731244582532006
100.0,0.05,0.5002925441599683
0.001,1.0,0.5935030915253179
100.0,0.1,0.5937806650784844
0.01,1.0,0.5941353777945947
0.1,1.0,0.6002184499307966
10.0,0.5,0.6432569753393728
1.0,1.0,0.6450093907766172
10.0,1.0,0.7559481585916326
100.0,0.5,0.7812828021490769
100.0,1.0,0.8053467159215677
