column,count,mean,std,min,q25,median,q75,max
pl_bmasse,1084,2.124548535415128,1.2495337772658677,0.0364,1.28,2.18,2.76,10.0
pl_eqt,1005,999.7255422885572,431.37450123581436,171.7,698.0,954.0,1214.0,3186.0
pl_imppar,1040,0.35126888269230805,0.25970138562212125,-0.13,0.135175,0.2943,0.51,1.2325
pl_insol,981,520.5438878695206,930.9913895831949,0.144,50.427,182.375,518.437,8385.9
pl_orbeccen,939,0.015409424920127791,0.06162867612279992,0.0,0.0,0.0,0.0,0.88
pl_orbper,1084,8.47504752467785,13.77908638586664,0.1768913,2.46976925,4.72266479,9.463798,199.66876
pl_orbsmax,998,0.0679169597117234,0.05702719991985509,0.005,0.03309,0.052599999999999994,0.08495,0.6193
pl_rade,1084,1.226399863477859,0.2575642057193046,0.3098,1.06,1.26,1.44,1.6
pl_trandep,1033,0.04046016522749274,0.08645042035377469,0.00122,0.01143,0.02045,0.03536,1.6536
pl_trandur,1060,2.7193437331132055,1.6223225459554147,0.292,1.63075,2.3765,3.32925,15.722
st_logg,1084,4.535325073800737,0.22070832056850087,3.764,4.4065,4.533365,4.63483,5.265
st_mass,1084,0.8358798053505527,0.26181059166487736,0.0898,0.729,0.87,1.01,1.64
st_met,1049,-0.025033651096282146,0.1698028294761571,-0.95,-0.11,0.0,0.07,0.48
st_rad,1084,0.8620870073800736,0.3330571641914866,0.1192,0.677,0.84,1.046,2.55
st_teff,1084,5132.715369003691,897.1705325169486,2566.0,4658.25,5382.0,5815.0,6681.0
sy_dist,1078,517.5306285568552,400.6754477885767,6.86929,202.63425,446.8675,768.57025,2712.58
