alpha,gamma,Val_RMSE
0.01,0.01,0.07163626885921291
0.1,0.01,0.07531744798136021
0.001,0.01,0.07576996326579837
0.001,0.001,0.08069813163175625
1.0,0.01,0.08400979723938752
0.01,0.001,0.08986709841572667
0.1,0.001,0.09116835498737642
0.01,0.05,0.09126247947274556
0.1,0.05,0.09399311864356281
0.001,0.05,0.09533491998517475
1.0,0.001,0.10541588620320015
1.0,0.05,0.12147015744100242
10.0,0.001,0.12210633734929417
10.0,0.01,0.13235243774822097
0.001,0.1,0.1333634516334343
0.01,0.1,0.1343046470306647
0.1,0.1,0.1402255236214127
1.0,0.1,0.18631380361451894
10.0,0.05,0.23503637438312006
100.0,0.001,0.322260548349001
10.0,0.1,0.33357740599762675
100.0,0.01,0.3662544206521006
0.001,0.5,0.4314611480321004
0.01,0.5,0.43254522607758
0.1,0.5,0.44199959983799514
1.0,0.5,0.49868674609628505
100.0,0.05,0.5068614180715693
0.001,1.0,0.5872988892968701
0.01,1.0,0.5879953928643934
0.1,1.0,0.5945130768094016
100.0,0.1,0.601457849037609
1.0,1.0,0.6361755861211491
10.0,0.5,0.6406661166906392
10.0,1.0,0.734128520902364
100.0,0.5,0.7652285203153242
100.0,1.0,0.787114519150911
