alpha,gamma,Val_RMSE
0.01,0.01,0.07163626885921251
0.1,0.01,0.07531744798136045
0.001,0.01,0.07576996326581224
0.001,0.001,0.08069813163186723
1.0,0.01,0.08400979723938745
0.01,0.001,0.08986709841573257
0.1,0.001,0.09116835498737538
0.01,0.05,0.09126247947274418
0.1,0.05,0.0939931186435627
0.001,0.05,0.09533491998517214
1.0,0.001,0.1054158862032002
1.0,0.05,0.12147015744100245
10.0,0.001,0.12210633734929419
10.0,0.01,0.13235243774822103
0.001,0.1,0.13336345163343732
0.01,0.1,0.13430464703066478
0.1,0.1,0.14022552362141272
1.0,0.1,0.18631380361451894
10.0,0.05,0.23503637438312008
100.0,0.001,0.322260548349001
10.0,0.1,0.33357740599762675
100.0,0.01,0.36625442065210057
0.001,0.5,0.43146114803210045
0.01,0.5,0.43254522607758
0.1,0.5,0.44199959983799525
1.0,0.5,0.4986867460962851
100.0,0.05,0.5068614180715693
0.001,1.0,0.5872988892968701
0.01,1.0,0.5879953928643934
0.1,1.0,0.5945130768094016
100.0,0.1,0.601457849037609
1.0,1.0,0.6361755861211491
10.0,0.5,0.6406661166906392
10.0,1.0,0.734128520902364
100.0,0.5,0.7652285203153242
100.0,1.0,0.787114519150911
