pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist
323.21,1.178,12.2,4914.898486,0.238,,,,,,,4874,13.76,2.09,-0.26,93.1846
516.21997,1.53,12.3,4684.8142,0.08,,,,,,,4213,29.79,2.78,-0.02,125.321
186.76,0.775,13.1,1131.151301,0,,,,,,,4888,11.55,1.78,-0.21,75.4392
1766.41,2.839,12.5,2828.672822,0.3683,,,146.7,,,,5338,0.93,0.97,0.43,17.9323
798.5,1.66,13.5,565.7374,0.68,,,,,,,5750,1.13,1.08,0.06,21.1397
578.38,1.45,12.9,1373.018718,0.06,,,,,,,4157,25.92,1.22,-0.01,124.953
982.85,2.476,12.5,2926.246143,0.024,,,,,,,4980,8.8,2.1,-0.06,76.222
,330,18.647,3000,,,1700,,,,,4060,1.31316,0.85,,139.135
30.33,0.194,13.9,280.6424834,0.032,,,,,,,4816,12.19,1.05,-0.78,95.9863
452.8,1.333,13.4,632.46,0.09,,,,,,,5098,4.9,1.54,-0.03,72.0691
883,2.08,13.9,273.32,0.29,,,,,,,5098,4.9,1.54,-0.03,72.0691
,118,13,1271.313628,,,1450,,,,,3100,0.84,0.17,0.01,128.484
,84,12.3,4131.79,,,,,,,,,,0.19,,47.2
,52,11.209,7786.5,,,1600,,,,,3530,0.36645,0.4,,33.8281
,156,16.14096,4417.837,,,,,,,,3064,0.281,0.108,,40.08964117
,1950,17.37392009,3616.887272,,,1723,,,,,2859,0.315959,0.046,,66.0613
,572,12.2,5720.911326,,,2369,,,,,2943,0.289776,0.264996,,117.435
,15,12.6,2383.6,,,,,,,,2936,0.231916,0.019,,120.423987
,266,11.9,8899.195396,,,2677,,,,,,,,,
,587,12.1,6356.56814,,,2506,,,,,3021,0.600455,0.58846,,100.862
,46,15.69257298,1652.707716,,,1163,,,,,2825,0.21887,0.188001,,64.308
406,0.92,13.4,603.877,0.33,,,,,,,29564,0.203,0.48,-0.092,396.332
,7493,12.4,3813.940884,,,1616,,,,,3592,0.672832,0.643977,,34.1154
,230,12.3,3972.875,,,,,,,,4045,0.641152,0.6,,69.5737
,518,11.9,9534.85221,,,1600,,,,,3352,0.437589,0.433173,,57.2309
270.27,0.877,12.6,2511.480072,0.453,,,,,,,4415,18.11,1.234,-0.25,73.4603
1078,2.1,13.2,804.08,0.032,,,,,,,5872,1.21334,1.06,0.04,13.7967
2391,3.6,14.2,171.621,0.098,,,,,,,5872,1.21334,1.06,0.04,13.7967
14002,11.6,13.5,521.22,0.16,,,,,,,5872,1.21334,1.06,0.04,13.7967
9100,10.4,,3464.329636,0.57,,807,141,,,,7422,1.45,1.75,0.13,29.7575
4.230785,0.0527,14.3,146.2018,0.013,,,80,,,,5758,1.17561,1.03,0.18,15.4614
6.7994,0.044,1.69,3.5,0,,,,,,,3286,0.274,0.26,0.16,12.4773
33.747,0.13,2.16,5.3,0,,,,,,,3286,0.274,0.26,0.16,12.4773
14.651552,0.118,13.9,263.9785,0.0029,,700,89.73,,,,5198,0.98,1.015,0.39,12.5855
44.3936,0.247,8.51,54.4738,0.088,,,89.73,,,,5198,0.98,1.015,0.39,12.5855
4799,5.6,13,1232.493,0.0913,,,89.73,,,,5198,0.98,1.015,0.39,12.5855
0.7365474,0.01544,1.875,7.99,0.05,2657.8322,1958,83.59,0.39,0.03846733,1.5439,5172,0.943,0.905,0.35,12.5855
