pl_orbper,pl_orbsmax,pl_orbeccen,pl_trandur,pl_trandep,pl_imppar,pl_eqt,pl_insol,pl_bmasse,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,pl_rade
1.003933739,0.0175,0.0,1.4562,0.04911,0.023,1419.0,1039.697,3.57,4971.0,0.75,0.79,-0.05,4.6,820.905,1.71
8.172400475,0.0779,0.0,3.902,0.08643,0.942,858.0,127.95,11.0,5705.0,0.905,0.943,-0.06,4.499,1061.77,3.32321414
6.28385491,0.06865,0.0,4.124,0.00357,0.101,1108.0,470.862,0.437,6022.0,1.23,1.12,0.07,4.31,493.175,0.8
3.173917103,0.04641,0.0,3.5066,0.0303,0.629,1655.0,2381.77,10.1,6747.0,1.81,1.49,0.08,4.09,1318.05,3.15
56.35850143,0.2698,0.0,6.927,0.25596,0.906,419.0,7.29,18.7,5446.0,0.821,0.824,-0.2,4.525,962.888,4.54060463
4.807091,0.056,0.0,0.901,0.04505,0.68,1088.0,279.085,4.7,5744.0,0.886,0.962,0.1213,4.537,780.361,2.01
11.08507637,0.0901,0.0,1.708,0.07718,0.1249,665.0,37.664,5.99,5001.0,0.76,0.8,-0.03,4.59,825.176,2.32
47.332773,0.242,0.0,3.069,0.09755,0.06,386.0,5.994,6.66,5265.0,0.785,0.793,-0.0314,4.576,754.747,2.47
81.3151059,0.3483,0.0,5.762,0.07817,0.1394,393.0,3.577,6.66,5614.0,0.91,0.94,-0.04,4.5,742.473,2.47
18.47764449,0.0899,0.17,1.8777,0.2779,0.506,298.0,2.46,3.61,3556.0,0.33,0.34,-0.39,4.94,109.308,1.72
12.56093,0.104,0.0,3.764,0.09669,0.12,734.0,65.142,8.2,5560.0,0.939,0.956,0.12,4.466,891.092,2.79
9.61375356,0.0897,0.0,4.7305,0.07979,0.07,931.0,202.775,9.43,5744.0,0.96,0.98,-0.04,4.47,938.844,3.03
3.990106229,0.0493,0.0,2.4269,0.61549,0.733,1124.0,550.203,60.2,5861.0,1.03,1.03,0.02,4.42,1484.46,9.03
67.668827,0.3214,0.0,9.623,0.09611,0.783,495.0,20.627,13.4,6095.0,1.22,1.15,0.08,4.32,1571.46,3.72
19.30553,0.137,0.31,3.8064,0.1691,0.4,649.0,42.1,25.2,5533.0,0.956,0.88,-0.07,4.47,272.36,3.773
4.798599388,0.0546,0.0,2.9979,0.08174,0.3144,978.0,219.036,7.46,5527.0,0.9,0.93,0.01,4.51,723.875,2.64
47.9872764,0.24869,0.0,4.756,0.09128,0.0532,493.0,8.293,8.05,5653.0,0.94,0.96,0.02,4.48,544.45,2.76
12.283211,,,4.31,0.0314,0.4,949.0,,5.52,6222.0,1.33,1.23,0.1,4.28,557.993,2.21
7.298049927,0.06961,0.0,3.024,0.03705,0.411,786.0,84.7,4.43,5119.0,0.834,0.818,0.1,4.508,1030.81,1.94206512
10.04156,0.087,0.0,2.53,0.11553,0.36,712.0,56.293,3.61,5243.0,0.821,0.854,0.0616,4.543,385.231,2.73
14.48585199,0.10913,0.0,2.7143,0.04571,0.0151,784.0,69.795,5.86,5813.0,1.05,1.01,0.01,4.4,635.643,2.29
214.886545,0.6687,0.0,10.11,0.07592,0.0171,286.0,1.184,7.13,5324.0,0.84,0.88,0.02,4.54,803.052,2.57
16.19697,0.1148,,1.29,0.0828,0.22,495.0,14.3,4.62,4455.0,0.696,0.67,-0.1,4.57,112.467,1.99
3.73089898,0.0473,0.0,2.807,0.01912,0.909,1128.0,653.831,2.67,5833.0,1.01,1.02,0.02,4.43,1217.73,1.44
2.76122421,0.04135,0.0,3.662,0.00678,0.908,2017.0,1342.5,1.46,6132.0,1.29,1.2,0.14,4.29,814.078,1.12
15.0,0.12545,0.0,4.2108,0.00742,0.44,968.0,227.398,3.79,6072.0,1.659,1.184,-0.03,4.07,396.379,1.421
4.35409304,0.0484,0.0,2.313,0.02771,0.1149,1043.0,194.344,2.67,5306.0,0.83,0.86,-0.01,4.55,805.936,1.44
