alpha,gamma,Val_RMSE
0.001,0.001,0.0414332307676769
0.01,0.01,0.04659651675195383
0.01,0.001,0.047872677075044986
0.1,0.01,0.05413214928739575
0.1,0.001,0.05433032315606537
0.001,0.01,0.06701724227892325
1.0,0.01,0.06945705476665014
1.0,0.001,0.07398594703513811
0.1,0.05,0.09164979594949774
0.01,0.05,0.09571279857745296
1.0,0.05,0.10003343286614298
10.0,0.01,0.101842470517827
0.001,0.05,0.105819521223728
0.1,0.1,0.10965447497551319
0.01,0.1,0.11061940417026497
10.0,0.001,0.11076661772544502
0.001,0.1,0.11846226530398321
1.0,0.1,0.12600780721721205
10.0,0.05,0.14883133443177532
100.0,0.001,0.16116078797768452
100.0,0.01,0.1833499784005545
10.0,0.1,0.2070551387236356
100.0,0.05,0.28458683542421603
0.001,0.5,0.2847842328111739
0.01,0.5,0.285762246525024
0.1,0.5,0.29403074421187386
1.0,0.5,0.34422601290007615
100.0,0.1,0.38785227935581007
0.001,1.0,0.4435525016214998
0.01,1.0,0.4442973207951444
0.1,1.0,0.4513180598293111
10.0,0.5,0.49364946674469584
1.0,1.0,0.5006303392731564
10.0,1.0,0.6481134509110865
100.0,0.5,0.7031963414390668
100.0,1.0,0.771745961871606
